,sensor,ekf,pos,att,nav,cmdr,fmu,io
353,101,494,501,212,199,81,14,1807
354,101,494,501,212,199,81,14,1841
355,101,494,501,212,199,81,10,1841
356,101,516,501,212,199,81,10,1841
357,101,516,501,212,199,81,10,1841
358,101,516,505,212,199,81,10,1841
359,101,516,505,204,199,81,10,1841
360,101,516,505,204,130,81,10,1841
361,101,516,505,204,130,81,10,1841
362,101,516,505,204,130,81,10,1753
363,101,516,505,204,130,81,10,1753
364,101,843,505,204,130,81,10,1753
365,101,843,498,204,130,81,10,1753
366,101,843,498,200,130,81,10,1753
367,108,843,498,200,130,81,10,1753
368,108,843,498,200,126,81,10,1753
369,108,843,498,200,126,83,10,1753
370,108,497,498,200,126,83,10,1753
371,101,497,498,200,126,83,10,1753
372,101,497,493,200,126,83,10,1753
373,101,497,493,200,126,83,10,1753
374,101,497,493,200,126,83,10,1784
375,101,497,493,200,126,83,10,1784
376,101,497,493,200,124,83,10,1784
377,101,497,493,200,124,86,10,1784
378,101,113,493,200,124,86,10,1784
379,120,113,493,200,124,86,10,1784
380,120,113,486,200,124,86,10,1784
381,120,113,486,197,124,86,10,1784
382,120,113,486,197,124,86,10,1796
383,120,113,486,197,124,86,10,1796
384,120,113,486,197,586,86,10,1796
385,120,113,486,197,586,86,10,1796
386,120,113,486,197,586,86,10,1767
387,120,113,486,197,586,86,10,1767
388,120,851,486,197,586,86,10,1767
389,120,851,515,197,586,86,10,1767
390,120,851,515,211,586,86,10,1767
391,101,851,515,211,586,86,10,1767
392,101,851,515,211,183,86,10,1767
393,101,851,515,211,183,86,10,1775
394,101,851,515,211,183,86,14,1775
395,101,127,515,211,183,86,14,1775
396,111,127,515,211,183,86,14,1775
397,111,127,496,211,183,86,14,1775
398,111,127,496,209,183,86,14,1775
399,111,127,496,209,183,81,14,1775
400,111,127,496,209,127,81,14,1775
401,111,112,496,209,127,81,14,1775
402,101,112,496,209,127,81,14,1775
403,101,112,510,209,127,81,14,1775
404,101,112,510,209,127,81,14,1775
405,101,112,510,209,127,150,14,1775
406,101,112,510,209,127,150,14,1760
407,101,112,510,209,127,150,10,1760
408,101,112,510,209,272,150,10,1760
409,101,112,510,209,272,160,10,1760
410,101,112,510,209,272,160,10,1777
411,101,112,510,209,272,160,10,1777
412,101,112,510,209,272,160,10,1777
413,154,112,510,209,272,160,10,1777
414,154,112,492,209,272,160,10,1777
415,154,112,492,198,272,160,10,1777
416,154,112,492,198,123,160,10,1777
417,154,112,492,198,123,160,10,1744
418,154,112,492,198,123,83,10,1744
419,154,112,492,198,123,83,10,1744
420,154,482,492,198,123,83,10,1744
421,102,482,492,198,123,83,10,1744
422,102,482,489,198,123,83,10,1744
423,102,482,489,200,123,83,10,1744
424,102,482,489,200,595,83,10,1744
425,102,482,489,200,595,81,10,1744
426,102,112,489,200,595,81,10,1744
427,101,112,489,200,595,81,10,1744
428,101,112,484,200,595,81,10,1744
429,101,112,484,198,595,81,10,1744
430,101,112,484,198,595,81,10,1818
431,101,112,484,198,595,81,10,1818
432,101,112,484,198,126,81,10,1818
433,101,112,484,198,126,81,10,1818
434,101,112,484,280,126,81,10,1818
435,101,112,328,280,126,81,10,1818
436,101,112,328,280,126,81,10,1762
437,101,112,328,280,126,81,14,1762
438,101,488,328,280,126,81,14,1762
439,37,488,328,280,126,81,14,1762
440,37,488,328,280,127,81,14,1762
441,37,488,328,280,127,81,14,1874
442,37,488,328,280,127,81,14,1874
443,37,522,328,280,127,81,14,1874
444,43,522,328,280,127,81,14,1874
445,43,522,500,280,127,81,14,1874
446,43,522,500,212,127,81,14,1874
447,43,522,500,212,127,81,14,1874
448,43,522,500,212,192,81,14,1874
449,43,113,500,212,192,81,14,1874
450,101,113,500,212,192,81,14,1874
451,101,113,740,212,192,81,14,1874
452,101,113,740,312,192,81,14,1874
453,101,113,740,312,192,229,14,1874
454,101,113,740,312,192,229,14,1788
455,101,113,740,312,192,229,10,1788
456,101,113,740,312,123,229,10,1788
457,101,482,740,312,123,229,10,1788
458,101,482,740,312,123,229,10,1788
459,101,482,502,312,123,229,10,1788
460,101,482,502,211,123,229,10,1788
461,101,482,502,211,123,81,10,1788
462,101,482,502,211,123,81,10,1780
